ranks nx ny nz num_iter time num_streams
###1, 128, 128, 1024, 512, 0.831831, 16
###1, 128, 128, 1024, 1024, 1.67067, 16
###1, 128, 128, 2048, 32, 0.121075, 16
###1, 128, 128, 2048, 64, 0.222602, 16
###1, 128, 128, 2048, 128, 0.438034, 16
###1, 128, 128, 2048, 256, 0.830941, 16
###1, 128, 128, 2048, 512, 1.64801, 16
###1, 128, 128, 2048, 1024, 3.27665, 16
###1, 128, 128, 4096, 32, 0.232532, 16
###1, 128, 128, 4096, 64, 0.436238, 16
###1, 128, 128, 4096, 128, 0.839885, 16
###1, 128, 128, 4096, 256, 1.65765, 16
###1, 128, 128, 4096, 512, 3.26675, 16
###1, 128, 128, 4096, 1024, 6.61326, 16
###1, 128, 128, 8192, 32, 0.459145, 16
###1, 128, 128, 8192, 64, 0.853131, 16
###1, 128, 128, 8192, 128, 1.65331, 16
###1, 128, 128, 8192, 256, 3.30826, 16
###1, 128, 128, 8192, 512, 6.44767, 16
###1, 128, 128, 8192, 1024, 12.8626, 16
###1, 128, 128, 16384, 32, 0.909308, 16
###1, 128, 128, 16384, 64, 1.69802, 16
###1, 128, 128, 16384, 128, 3.33393, 16
###1, 128, 128, 16384, 256, 6.46549, 16
###1, 128, 128, 16384, 512, 12.754, 16
###1, 128, 128, 16384, 1024, 25.5974, 16
###1, 128, 128, 32768, 32, 1.88522, 16
###1, 128, 128, 32768, 64, 3.45961, 16
###1, 128, 128, 32768, 128, 6.67138, 16
###1, 128, 128, 32768, 256, 13.1429, 16
###1, 128, 128, 32768, 512, 25.9954, 16
###1, 128, 128, 32768, 1024, 51.7913, 16
###1, 128, 128, 65536, 32, 2.10181, 16
###1, 128, 128, 65536, 64, 3.81816, 16
###1, 128, 128, 65536, 128, 7.23713, 16
###1, 128, 128, 65536, 256, 14.4113, 16
###1, 128, 128, 65536, 512, 28.4682, 16
###1, 128, 128, 65536, 1024, 56.5029, 16
###1, 128, 128, 8, 32, 0.0027394, 32
###1, 128, 128, 8, 64, 0.00495946, 32
###1, 128, 128, 8, 128, 0.00941372, 32
###1, 128, 128, 8, 256, 0.0185331, 32
###1, 128, 128, 8, 512, 0.0364063, 32
###1, 128, 128, 8, 1024, 0.0721176, 32
###1, 128, 128, 16, 32, 0.00336668, 32
###1, 128, 128, 16, 64, 0.00597678, 32
###1, 128, 128, 16, 128, 0.0137734, 32
###1, 128, 128, 16, 256, 0.0222913, 32
###1, 128, 128, 16, 512, 0.043741, 32
###1, 128, 128, 16, 1024, 0.0867321, 32
###1, 128, 128, 32, 32, 0.00479395, 32
###1, 128, 128, 32, 64, 0.0079266, 32
###1, 128, 128, 32, 128, 0.0151664, 32
###1, 128, 128, 32, 256, 0.0291031, 32
###1, 128, 128, 32, 512, 0.057613, 32
###1, 128, 128, 32, 1024, 0.113594, 32
###1, 128, 128, 64, 32, 0.00603957, 32
###1, 128, 128, 64, 64, 0.0133571, 32
###1, 128, 128, 64, 128, 0.0211751, 32
###1, 128, 128, 64, 256, 0.041253, 32
###1, 128, 128, 64, 512, 0.0817808, 32
###1, 128, 128, 64, 1024, 0.159983, 32
###1, 128, 128, 128, 32, 0.00909818, 32
###1, 128, 128, 128, 64, 0.0172977, 32
###1, 128, 128, 128, 128, 0.0329936, 32
###1, 128, 128, 128, 256, 0.0665503, 32
###1, 128, 128, 128, 512, 0.12856, 32
###1, 128, 128, 128, 1024, 0.253231, 32
