ranks, nx, ny, nz, num_iter, time, num_streams
###1, 128, 128, 2048, 64, 0.361827, 2
###1, 128, 128, 2048, 64, 0.316201, 4
###1, 128, 128, 2048, 64, 0.287037, 8
###1, 128, 128, 2048, 64, 0.272899, 16
###1, 128, 128, 2048, 64, 0.265257, 32
###1, 128, 128, 2048, 64, 0.263362, 64
###1, 128, 128, 2048, 64, 0.275926, 128
###1, 128, 128, 2048, 64, 0.295297, 256
###1, 128, 128, 2048, 128, 0.875118, 1
###1, 128, 128, 2048, 128, 0.702966, 2
###1, 128, 128, 2048, 128, 0.610346, 4
###1, 128, 128, 2048, 128, 0.55073, 8
###1, 128, 128, 2048, 128, 0.524624, 16
###1, 128, 128, 2048, 128, 0.503502, 32
###1, 128, 128, 2048, 128, 0.500995, 64
###1, 128, 128, 2048, 128, 0.527655, 128
###1, 128, 128, 2048, 128, 0.569547, 256
###1, 128, 128, 2048, 256, 1.79495, 1
###1, 128, 128, 2048, 256, 1.38515, 2
###1, 128, 128, 2048, 256, 1.17783, 4
###1, 128, 128, 2048, 256, 1.08036, 8
###1, 128, 128, 2048, 256, 1.0297, 16
###1, 128, 128, 2048, 256, 0.992525, 32
###1, 128, 128, 2048, 256, 0.987697, 64
###1, 128, 128, 2048, 256, 1.04185, 128
###1, 128, 128, 2048, 256, 1.097, 256
###1, 128, 128, 2048, 512, 3.43853, 1
###1, 128, 128, 2048, 512, 2.73938, 2
###1, 128, 128, 2048, 512, 2.37397, 4
###1, 128, 128, 2048, 512, 2.18547, 8
###1, 128, 128, 2048, 512, 2.03785, 16
###1, 128, 128, 2048, 512, 1.94053, 32
###1, 128, 128, 2048, 512, 1.94, 64
###1, 128, 128, 2048, 512, 2.05155, 128
###1, 128, 128, 2048, 512, 2.21785, 256
###1, 128, 128, 2048, 1024, 7.1038, 1
###1, 128, 128, 2048, 1024, 5.45808, 2
###1, 128, 128, 2048, 1024, 4.72804, 4
###1, 128, 128, 2048, 1024, 4.33383, 8
###1, 128, 128, 2048, 1024, 4.07121, 16
###1, 128, 128, 2048, 1024, 3.9105, 32
###1, 128, 128, 2048, 1024, 3.86167, 64
###1, 128, 128, 2048, 1024, 4.11338, 128
###1, 128, 128, 2048, 1024, 4.31706, 256
###1, 128, 128, 4096, 32, 0.480057, 1
###1, 128, 128, 4096, 32, 0.376939, 2
###1, 128, 128, 4096, 32, 0.323367, 4
###1, 128, 128, 4096, 32, 0.300861, 8
###1, 128, 128, 4096, 32, 0.288709, 16
###1, 128, 128, 4096, 32, 0.278289, 32
###1, 128, 128, 4096, 32, 0.273476, 64
###1, 128, 128, 4096, 32, 0.277304, 128
###1, 128, 128, 4096, 32, 0.292817, 256
###1, 128, 128, 4096, 64, 0.923816, 1
###1, 128, 128, 4096, 64, 0.718934, 2
###1, 128, 128, 4096, 64, 0.622333, 4
###1, 128, 128, 4096, 64, 0.56444, 8
###1, 128, 128, 4096, 64, 0.53727, 16
###1, 128, 128, 4096, 64, 0.520719, 32
###1, 128, 128, 4096, 64, 0.516733, 64
###1, 128, 128, 4096, 64, 0.518468, 128
###1, 128, 128, 4096, 64, 0.549881, 256
###1, 128, 128, 4096, 128, 1.80595, 1
###1, 128, 128, 4096, 128, 1.3983, 2
###1, 128, 128, 4096, 128, 1.20464, 4
###1, 128, 128, 4096, 128, 1.08972, 8
###1, 128, 128, 4096, 128, 1.04137, 16
###1, 128, 128, 4096, 128, 1.00571, 32
###1, 128, 128, 4096, 128, 0.980321, 64
###1, 128, 128, 4096, 128, 0.998681, 128
###1, 128, 128, 4096, 128, 1.04377, 256
###1, 128, 128, 4096, 256, 3.43492, 1
###1, 128, 128, 4096, 256, 2.75168, 2
###1, 128, 128, 4096, 256, 2.32373, 4
###1, 128, 128, 4096, 256, 2.13814, 8
###1, 128, 128, 4096, 256, 2.02715, 16
###1, 128, 128, 4096, 256, 1.96278, 32
###1, 128, 128, 4096, 256, 1.93444, 64
###1, 128, 128, 4096, 256, 1.94965, 128
###1, 128, 128, 4096, 256, 2.07722, 256
###1, 128, 128, 4096, 512, 7.10642, 1
###1, 128, 128, 4096, 512, 5.47368, 2
###1, 128, 128, 4096, 512, 4.71492, 4
###1, 128, 128, 4096, 512, 4.31469, 8
###1, 128, 128, 4096, 512, 4.05138, 16
###1, 128, 128, 4096, 512, 3.85026, 32
###1, 128, 128, 4096, 512, 3.81679, 64
###1, 128, 128, 4096, 512, 3.87194, 128
###1, 128, 128, 4096, 512, 4.07005, 256
###1, 128, 128, 4096, 1024, 14.1757, 1
###1, 128, 128, 4096, 1024, 10.9176, 2
###1, 128, 128, 4096, 1024, 9.19232, 4
###1, 128, 128, 4096, 1024, 8.58279, 8
###1, 128, 128, 4096, 1024, 8.07534, 16
###1, 128, 128, 4096, 1024, 7.75091, 32
###1, 128, 128, 4096, 1024, 7.66015, 64
###1, 128, 128, 4096, 1024, 7.7643, 128
###1, 128, 128, 4096, 1024, 8.22137, 256
###1, 128, 128, 8192, 32, 0.921289, 1
###1, 128, 128, 8192, 32, 0.845485, 2
